player gender group valence block score d_prime mean_rt med_rt mot
P1024 M A V0 B1 16 0.967422 0.736588 0.706726 1.020794
P1024 M A V1 B0 17 1.382994 0.673915 0.645447 1.096292
P1024 M A V1 B1 16 1.172566 0.578674 0.570679 1.187861
P1025 M B V0 B0 18 1.348980 0.876648 0.856628 0.891495
P1025 M B V0 B1 18 1.593423 0.825216 0.829651 0.931275
P1025 M B V1 B0 21 2.350416 0.961642 0.879608 0.982812
P1025 M B V1 B1 15 0.674490 0.814865 0.762512 0.829427
P1026 F B V0 B0 19 1.641911 0.905334 0.849548 0.917470
P1026 F B V0 B1 18 1.348980 0.985728 0.883057 0.839902
P1026 F B V1 B0 12 -0.000000 1.039443 0.933594 0.602855
P1026 F B V1 B1 13 0.210428 0.990590 0.908020 0.587041
P1027 F A V0 B0 20 1.934843 1.066752 0.947998 0.872646
P1027 F A V0 B1 19 1.641911 1.044891 0.859253 0.975928
P1027 F A V1 B0 21 2.406154 1.501185 1.223999 0.691909
P1027 F A V1 B1 16 0.884918 0.985199 0.779541 0.789054
P1028 F A V0 B0 19 1.813721 0.757919 0.720764 1.107802
P1028 F A V0 B1 13 0.292932 0.746714 0.745850 0.717496
P1028 F A V1 B0 18 1.593423 0.771434 0.697876 1.017445
P1028 F A V1 B1 16 0.884918 0.693507 0.695984 0.980083
P1029 M A V0 B0 17 1.105217 1.040398 0.784546 0.817726
P1029 M A V0 B1 15 0.641156 2.074626 1.671264 0.445146
P1029 M A V1 B0 19 1.942093 0.885399 0.832581 0.987084
P1029 M A V1 B1 16 0.884918 1.587489 1.372437 0.506036
P1030 F A V0 B0 21 2.350416 1.499842 1.314820 0.636406
P1030 F A V0 B1 19 1.641911 1.437175 1.271119 0.606014
P1030 F A V1 B0 16 0.884918 1.534520 1.273499 0.530220
P1030 F A V1 B1 17 1.177850 1.554708 1.240479 0.562749
P1031 F B V0 B0 15 0.641156 1.029043 0.970947 0.667556
P1031 F B V0 B1 15 0.641156 0.851359 0.804077 0.751755
P1031 F B V1 B0 18 1.398149 0.909698 0.832275 0.887420
P1031 F B V1 B1 17 1.105217 0.900401 0.820190 0.865057
P1032 M B V0 B0 20 2.057484 1.038213 0.793152 0.980314
P1032 M B V0 B1 18 1.398149 1.098195 0.918823 0.898512
P1032 M B V1 B0 17 1.105217 1.126246 0.853577 0.855063
P1032 M B V1 B1 19 1.641911 1.063568 0.886108 0.844132
P1033 F A V0 B0 16 1.172566 1.029399 0.956543 0.681382
P1033 F A V0 B1 17 1.382994 1.200785 1.139892 0.678795
P1033 F A V1 B0 15 0.756993 0.974477 0.832275 0.753934
P1033 F A V1 B1 13 0.243762 1.165202 1.112793 0.460757
P1034 M B V0 B0 18 1.593423 1.131906 1.082092 0.710201
P1034 M B V0 B1 21 2.406154 0.957428 0.932434 0.931161
P1034 M B V1 B0 15 0.674490 1.448816 1.416595 0.445120
P1034 M B V1 B1 19 1.942093 1.130300 1.066040 0.759518
P1035 F B V0 B0 20 2.057484 0.750575 0.716034 1.143267
P1035 F B V0 B1 17 1.177850 0.787552 0.758606 0.955179
P1035 F B V1 B0 19 1.641911 0.862315 0.799133 1.002312
P1035 F B V1 B1 21 2.350416 0.829163 0.773987 1.104571
P1036 M B V0 B0 17 1.382994 1.127525 1.048645 0.682773
P1036 M B V0 B1 21 2.406154 1.111644 0.939758 0.904133
P1036 M B V1 B0 16 0.884918 1.146182 1.006683 0.646677
P1036 M B V1 B1 20 2.057484 0.988876 0.923035 0.910453
P1037 M A V0 B0 18 1.593423 1.485362 1.281921 0.633858
P1037 M A V0 B1 21 2.350416 1.401789 1.221070 0.694790
P1037 M A V1 B0 17 1.105217 1.333206 1.214905 0.576117
P1037 M A V1 B1 18 1.348980 1.540034 1.259155 0.589595
